group_id	rev1	rev2	rev3	rev4	rev5	rev6	rev7	rev8
B0013EQ20Y	i really like these boots. they can be a beast to get on, like any boot fit to last; once on, they are incredibly comfortable. I have had them for 4 years and they still look great - worn in but not worn out...	What great boots! They do take some breaking in - like all real leather does. Run maybe a tad small in the general spectrum, but hey, remember the break in period. Look fabulous, will last me for the next twenty years.... They bridge the fashion vs. function quandary beautifully.	Every woman needs a pair of these Frye boots! Fit is true to normal size. I wear a standard 9. These fit in the shaft for any ladies who have bigger calves as I do. You have to fight to get them on first few times and they wear stiff until fully broken in. Worth the money and break in time.	Boots excellent quality, beautiful skin, a modern model. But! they are very narrow! This is the second pair of shoes is a brand and my 8.5 size fits me perfectly, even he little more than usual. But these are very narrow! go to a cobbler, let him try to stretch. Be careful!	bought these for the wife to have something to kick around in and keep up with the kids, but she doesn't like them. Her heel lifts with every step, and they're stiff and heavy. Not an everyday casual shoe.	Don't get me wrong, they're really good boots, but they used to make them better. My last pair from a few years ago were much higher quality. Thicker sole, better full grain leather, now they only make the black in 'grease', which stains all my socks black. Keeping them, but still disappointed in Frye.	i bought it just for the heavy snow cuz my UGG got wet through.even though it is a little expensive, but the boots are nice and it was shipped to me for only two days.!!!!!! i love it	They were comfortable the moment I put them on. The sizes are exact. The color the way they are made are what I expect from Frye which I've been wearing since the 70's. With a 20year break from not wearing Frye it was a pleasant surprise the quality has stood the test of time.
B001QCZ3E4	This shoe is very classy and chic. The colour is rich and goes very well with almost any navy blue outfit. However, it fit me a bit snug to the front probably because my feet are a bit broader. And you do have to order the size a 1 / 2 inch bigger than you normally wear.	this shoe was picked by the 'bride to be' for her upcoming wedding this weekend. The other bridesmaids paid over $80.00 in a dept. store. I found my daughter 'bridesmaid' the exact same shoe for much less. The quality is the same. the brand is the same, the look is the same and it fits perfectly.	I love the look of these shoes and they will forever be special to me as I wore them at my wedding. Had a few cosmos right after our ceremony so did not notice any comfort issues throughout the night, but the next morning my feet felt like they had been pinched around the toe area.	These are VERY nice shoes and so pretty, but there is a rim inside the top of the shoes by my toes that rub them and could cause a blister or sore, so even though they are great to look at they are not that comfortable.	These shoes run 0.5 size small, I had to exchange and pay for return shipping. Order 0.5 size larger than you usually wear, and they won't hurt or give you blisters even around the toe. Remember - this is not natural leather, so don't hope to break in them. If you pick right size, they are very comfortable and cute.	I bought these in navy to wear in my sisters wedding. They matched my navy satin dress perfectly and were super comfortable. I wore these shoes longer than I have worn any heels. The lower heel gave me just enough height, but not to much to make me unsteady. Looking forward to wearing them again and again!	These shoes run appropriate to size (I'm a size 9), but I felt like they pinched my toes as I have a wider foot. The shorter heel is nice so you don't have to worry about tripping- but I sent them back as I didn't find them comfortable.	Great Fast Amazon shipping, and the show itself is a really nice bright yellow, perfect for that pop of color I was looking for. I'm five months pregnant and needed a comfortable shoe for a wedding and these completely fit the bill. I would buy again.
B0040EIHQQ	This pendant is so unique!! The design is beautiful and the bail is a ring instead of the typical bail which gives it a nice touch!! All the corners are smooth and my daughter loves it - looks great on her.I cannot say anything about the chain because used our own chain.:) Satisfied.	It look perfect in a womens neck!! great gift, I thought for the price it was going to look cheap, but I was far wrong. It look great.Spect great reward from your woman when you give this to her; D	The prettiest sterling silver piece I own now. I get so many compliments on this necklace. I bought it for myself from my hubby for Valentine's Day. Why not? When people ask where I got it, I simply say from my loving hubby. And he is off the hook as to what to get me. win + win.	I love hearts and I love 'love':) I do not have any negative feedback, the necklace is perfect and the charm is perfect. I just thought it would have been slightly bigger. Overall, I love my new heart necklace.	When I received the package, I was surprised and amazed because the necklace is so elegant, beautiful and the same as the picture shown here. I really love this necklace. It has a unique pendant designed. I will recommend it to someone to order it now...	Item is nice. Not a great quality item, but right for the price. Charm was larger than I expected (I expected small and elegant, but it was large and almost costume jewelry like). I think it is a good necklace, just not what I expected.	I got this as a present for my GF on Valintines day. She loves it and wears it every day! Its not cheap looking and it hasn't broken yet. The chain hasn't broken either even though it is very thin. Strongly recomend it!	Over all service has been great the only problem, I ordered a purple Mickey Mouse case for iPhone 4S they sent a black, n I felt it was to much trouble n such a small item to send back so needless to say its put back in a drawer somewhere
B0052PKEYK	Although the quality of construction seems adequate, the sizing isn't accurate. I ordered a size 34 which is the size I normally wear and the suit not only pinches around my legs but also is almost uncomfortably tight around the waist.	The suit seemed ok in quality however it was the wrong size. It is always a gamble buying online even following the sizing chart. I did return it and got a refund but Amazon failed to fight for the sale and make it right. I went to a local store and purchased what I liked.	Fits well and has a nice draw string to keep them tight. I bought a size small so that I would not have to worry about them falling off but I should have bought my correct size as they fit true to size.	The only reason for the 1-star reduction, is the seams around the legs are pretty stiff and tight. However, the seams appear to be loosening up a bit though with use. I typically wear a size 32 but had to get a 34 for this suit.	The size on the waist was correct, but if you have large thighs like I do, or should I say muscular thighs, it will be a tight fit. It is very tight to get past my thighs, then it wasn't so bad. The waist was a 38, no problem there. It will be a tight fit on most guys.	I got this swimsuit a month ago. I swim 5 days a week for about an hour and 15 min. I washed the suit after every practice. It tookabout 2 weeks for a fabric to loose all elasticity. After two more weeks the suit basically fell apart. Avoid!	I wear a 32 and I read some of the reviews and yes it does have a nice feel and fit but does run small with that being said I ordered a 34 and it was a nice fit and feel but I think a 36 would have been a better fut	I haven't swam in it much yet but fit is good. I bought two different styles. Both were speedos. I am not a swimmer so this is a first purchase of speedos. Training for my 3rd marathon and wanted to add swimming as part of my workout.
B005BQ6YYO	Fit as expected. Have trouble with my feet: neuromas, plantar fasciitis, and bunion. Looking for comfortable cushioned for quick trips to run errands without putting on sneakers and sneakers. These work great for me but not for all day use.	The shoe is so comfortable and I bought another 'walking' shoe by Ahnu which is perfect too.Needed a cute and comfy shoe to do lots of walking in Europe this Spring. These will fit the bill.I found this style was a little big so I had to get a half size smaller and it is great.LO	Reviews said to buy a size smaller. I wear a 7 so ordered the 6.5. It was still too big, and I'm guessing a 6 would fit. I bought the Ahnu sandal at 6.5 and it fit perfectly. I plan to reorder the shoe but in a size 6.	I always take a 7 or 7.5, in fact own a pair of flipflops from this brand in a 7, decided to order 7.5 and it fits more like a 8.5 or even a 9. Way too large. Am returning & hope to replace with a smaller size.	I would recommend these shoes to anyone looking for a very comfortable walking shoe with some style. I can wear these instead of sneakers for less casual events. The shoes run big. I normally wear a 7 1 / 2, but ended up with the 7 which fit just right.	I ordered these shoes in a half size smaller than my regular size due to reviews that I read, but they were still too small. They were pretty shoes, so was very disappointed. The company was very good about refunding my money very quickly.	I don't believe these shoes will fit anyone who wears a narrow. If I order my true size, they're too short and my toes hit the front of the shoe yet if I order the next size up they're too wide yet my toes still hit in the same place. Both pairs went back -- bummer!	I am in and out of areas where the footing can be slippery. I wanted a cute but totally functional shoe and this is it. Incredibly lightweight! I bet I could run in these. Great all around casual working shoe.
B005DO7R3G	I usually wear size 37, but found a 38 feels better in this sandal. I absolutely love this sandal. So supportive and comfortable, although at first I did get a blister on my big toe. Do not let this be the deciding factor. It stretched out and is now fabulous. I love it so much that I bought it in three colors.	This is a really cute shoe that feels very comfortable on my high arches. The strap on the instep fits my feet very well, but I have very slim feet. I can see how it would be uncomfortably tight on anyone with more padding on their feet.	I love these sandals. The fit is perfect for my foot, with perfect arch support. I don't think the leather is cheap, and the sandals are very comfortable to walk in. They are very pretty, and pair very well with pants and dresses.	My wife is a nurse and wears dansko shoes. We were excited to try the new crimson sandal and normally order 39 sandal and 40 closed toe. Some other reviews were right about a narrow width and tight toe box. We gave them a try and passed a great pair of shoes to our daughter with her long narrow feet, and she loves them...	Finally, a Dansko sandal that's fashion forward! It was love at first sight! This is my 4th Dansko purchase. Their sizing, quality and comfort is very consistent. I love the stying of this sandal and I'm pleased they are offering bolder colors. Another feature I love is the Dri-Lex topsole - it's soft and keeps feet dry.	I really love these sandals. my only issue is after wearing them for a while my feet started to swell as I have a high instep and they were a little tight across the top. I'm sure they will stretch a bit after a few wears	I have several pairs of Dansko clogs that are all size 39 and fit perfectly. So I felt confident when I ordered the Tasha Sandal in size 39. I don't know if a 40 would be too large but the 39 seems a little small. Otherwise, I love them. They are very cushiony and comfortable!	I own many Dansko shoes and these are among my favorites. They have ALL the support that Dansko offers in its shoes plus they are very attractive. I love the the heel height and instant comfort. They look great with slacks and dresses, dressed up or not...
B007I8G8A8	Love the shorts! Fit beautifully and look great on my hunky hubby! We grew up at the beach and these are definitely back flashes!! Excellent quality, good material, made very well and am very excited! I need to order him more!	As other people mentioned the liner in these are SUPER small. I took them on vacation to Hawaii and on the second day I cut out the bottom of the liner. The waist fits fine but the liner inside is not sized accordingly. I just cut the liner at the bottom so I could be comfortable and all was well after that.	great price nice style these were the best swimwear available during the winter season and compared to the others that i found online these were very sharp (style) and also the price was very decent if your son needs a pair for gym or just swimming i would recommend these to any one	Shorts have a good look and feel. Fit about as expected but the mesh is a little tighter than I'd like. (6 '205lb, wear a size 34 waist and ordered the size large which is quoted to fit a 34.) If you're on the fence, might want to go a size larger.	My wife said I had to buy a proper pair of swim trunks for an upcoming cruise. Seems my use of cut off jeans would embarrass her on the cruise we took. The pockets are deep enough to keep things in and the cargo pockets are good for keeping various items like sunglasses.I guess I will have to retire the cutoffs.	The shorts themselves fit well, but my husband said the inner lining was a little tight. He ended up not wearing them because he was worried about them chaffing. Hopefully they can be stretched or fixed, but I'm not sure.	This is a cheap product and it shows in the material and craftsmanship. The material is rough and it has one of those annoying net liners built in. The stitching seems poorly done and I don't thin it would have lasted long had I actually worn it out into the ocean. I returned the item.	This was an excellent purchase - very sharp looking and seemingly well made (so far anyway) for a great price. What garners only a 4 star is the mesh inner lining is a bit too tight and i had to cut it
B009L0KU46	The shoes are the perfect fit for me. They supply the support that I need yet are flexible and comfortable. I wear these all day in my 2nd grade classroom and my feet are not tired at the end of the day. I will be buying another pair in a different color.	I overpronate and should have known better than to buy these shoes. They are really sharp looking and probably would work for someone with a regular feet. I wish I could have kept them as I did get lots of compliments at the gym when wearing them;)	It is very comfortable and the bottom is really soft on my feet. I usually wear 8 but I had to get a 7 in this. So it ran large for me. I have wide feet though too. Very stylish. I enjoy wearing them running and casually as well.	Got a blister the first time wearing them. They did nothing for the foot pain experienced from wearing cheaper shoes. Guess I was expecting too much, but I refuse to pay the ridiculously high prices charged nowadays. I'm sure they are just as good as those costing $100 more. Nice colors!	These shoes are awsome. I have a really hard time finding running shoes due to a high arch and the need for a shoe between a neutral shoe and a stability shoe These shoes felt great right out of the box. They run true to size and the colors are great. Great shoe for a great price.	These are a MUST HAVE item...!! They are totally awesome on my feet and feel like a dream. I do a lot of power-walking and these little cuties are RAD..!! Totally light weight but real cushie..... LOVE EM 'and would DEFINITELY buy from this seller again..!!	I usually wear a size Women's 10. Nike shoes run small, so I usually waer an 11 in Nike. These Reeboks fit more true to size, but I still ordered a 10.5 and the fit is great! The shoe seems durable and well-made. It forms to my foot and supports my arch very well.	She loves the shoes! My girlfriend is picky about shoes and avoids online purchases. I asked her to find a pair of athletic shoes that look attractive. She gave me her size and I purchased them. They are lightweight and she says they cushion her feet well. She has been wearing them for long walks and tandem bike rides since she received them!
B000BYGGBW	Yes, HP DVD's are DVD's for the better. Better price. Better quality. I have used these over the years for many different projects and the quality is there and so is the price. I have had trouble with some other brand named DVD's, but not with HP.	Ive always bought the Hp DVD + R 100 pk and find that they go a long way, Seldom do I find a coaster in the pack... Hwever his was my first time purchasing the 100 pk from Amazon, but so far so good.	I have had a ton a problems with these discs. After about 30 minutes of a DVD, it begins to get choppy and become unviewable. Looking at the burn side of the disc, there is a area where you can see the burning stopped and I guess picked again. Do not recommend.	The box was too big and allow the spindle to bounce around in box and plastic covering spindle which keeps the blank DVD in place was broken and DVD were off the spindle. If that is the only size boxes have should put more packing so it will not allow spindle to move at all.	Produces about 25% coasters, and another 10-15% that won't play on DVD players. The first half was about what I expected, a few coasters, a couple minor errors. The second half I was lucky to get maybe 5 that worked flawlessly. No good!	After receiving this DVD + R, I think I should order the 50 piece spindle. I did not burn too often. I believe it is enough for 2 years. I tried a couple of discs, anyway, like it.	Been purchasing only HP DVD + R media for 8 years or more. Always got the HP branded gold coated. Made by CMC, with id of CMCMAGM01001. This batch is not gold as portrayed in the photo, it's silver coated, but still the same id.	Vendor describes the product as being gold in color. It is not it is silver. I know that HP no longer manufactures the gold version.But was hoping this vendor had some gold version of DVD + R in it inventory. They need change the picture and description to silver instead of gold.
B000V7CPJG	I recently bought this film and slide scanner to scan my grandfather's slide collection. It bleaches out the image with too much light. I tried changing the settings to improve the image quality, but had no luck. The company ArcSoft charges $10.00 per phone call for tech support. You are better off making the investment on a nicer quality scanner.	* * Not Reccommended * * Purchased as a gift in August. Opened a week ago. Spent the last week trying to get Win Xp to recognise the Vu Point scanner. Many drivers and reloads later all I have is a little black box with a red light and a message from windows that says 'USB Device Not Recognised'.	I used the VuPoint Digital Scanner to scan over 1,200 35 mm negatives and about a dozen slides and found this gadget a most user-friendly and efficient tool. I even managed to upload a few black and white negatives from 1963. I recommend the product highly.	While the software was good for Windows XP and Vista, I now have Windows 7 and would like to have software for the newer operating system. The company prefers to sell other products rather than update their software. I can't see recommending this product in today's market.	While most equipment will work with more modern versions of Windows than were available when manufactured this is not true with this scanner. Requires Windows XP means it won't work with earlier OR LATER. Its on its way back for a refund.	I found the VuPoint scanner not acceptable and I am still waiting for a replacement. My contacts with VuPoint were helpful but the equipment still did not produce acceptable images. My contact with the seller has been sporadic, at best, and a replacement unit has not been delivered.I an NOT anxious to deal with these providers again.	Product is very easy to use. Does a great job converting my slide and photo negatives to digital format. Touch-up and enhance program gave me just what I needed to clean up and enhance some of the scans, Company was great to work with!!	Its not worth the time it takes to get the negative to fit in the holders they give you. I'd much rather buy a hp flat bed scanner that lets you see the final photo image and not just an image of the negative. It takes to much time and isn't worth the money.
B002RL8IGI	Took a long time to get and when I finally got them, they didn't seem to work to well joined up (I have 3). Also, they should have come with DC chargers, they don't seem to work well with batteries, imho.	The units work fine and the setup is described in the manual works well. The one thing that my wife and I do not like is the Audio. Sounds like you are in a box. The calling button is also a bit strange. It first beeps and then you can speak. The distance it covers is very good.	Don't waste your money on these. Although if you try hard enough you can make out what the other person is saying, the audio quality is extremely poor, as is the noise cancellation (if any), and the general sound quality. I wish I had saved the boxes. I'd be sending these back.	And the problem is having to wake the kids up in the morning to go to school. They are upstairs and I used to have to trek up and down a couple of times each morning. We put one in each bedroom, 1 in the living room and 1 in the study. Problem solved.	We use it in our office to tell another employee if they have a call on hold, but that is about all it is good for. Don't bother trying to have a conversation, clarity is too poor. I didn't realize until after the fact that I should have just bought walkie talkies. At least battery life in these are good.	I searched extensively for an intercom for my large two floor home. I selected this unit (ordering three units) and regret my decision. It was very difficult set up and doesnot work that well. I wish I could get a refund as we never use it. My search continues.	It is simple to program and operate, which is just what I was looking for. I just wish I didn't have to buy a power cord separately. I am running it on batteries right now, but I am not sure how long they will last.	I've spent hours already trying to set up my network and get this system going. The engineering leaves much to be desired. Can't get it to work as advertised. The Manual is one of the least helpful such documents I've ever seen.
B003U8K0N6	This power supply gets the job done but I am concerned about how hot the charger gets after a few hours. I attached a cooling device to the power supply and has controlled the heat. Buy this with caution and monitor the temperature of the power supply.	This charger ruined my laptop. I did not have any problems with my 5month old lap top until i used this charger. Buy this from the manufacture and you will be better off. Go to ACER and bet it from them.	My charger gets hot very quick. The one pictured is not the on received. The prong fits loose in the laptop. The one pictured showed a grounded plug with an OEM Brick. The one received has a 2 prong plug and has a sticker on it stating, replacement AC Adapter, Made in China.It would be nice if the pictures represent the real items.	I recently purchased this power supply and cord to replace the OEM that stopped working. I've had it approximately 1 month and works perfectly. The cord is a little shorter than the original but that isn't much of an issue for me. I would recommend this product.	I bought this for my aspire 5532. It worked for about a week and now it won't charge at all. The fit was never snug from the start, but I was hopeful. I guess you get what you pay for. Buyer beware!	The charger arrived here very quickly! I am very thankful for that because I have online classes to work on for school. The only thing is the cord has to be placed a specific way or it will not charge so that is difficult.	Purchased the product for the corresponding laptop. The adapter made so much noise that I could not charge the computer in the office. After writing the company they took appx 5 days to get back to me and suggested that I send the product back on my dime to fix the problem. Poor product, bad customer service, I do not recommend.	I ordered this for my Acer 5532. It heats up right away and I only use it to charge the laptop, it isn't plugged in for very long. After only 2 weeks it MELTED! This is horrible and dangerous!
B004G8EKIA	I did not go wrong when I purchased this stereo receiver. tons of power pushing my system, what an upgrade from my old one, this is a real powerhouse. It pounds. Remote control, quality crafted stereo receiver for under a hundred bucks! I thought it would be good, but did not expect this. A sweet deal!	If you want just a stereo then this will do the manual is very limited. The fan is loud and the USB player will only let you go one track at a time so if you have a 100 tracks it will take time to get there. The sound is fine and is easy to connect up.	First problem I have with this receiver is you can't set the channel presets. Also the speaker wire terminals are NOT clamps and it took me a while to screw them in. The power is good and it looks durable. I don't believe you can play the tv's sound through the receiver.	I got this to replace a 20 year old stereo I had. I went by the speaker specifications when I purchased this one. When I hooked it up, this receiver pushed my 15's more than I ever heard before without messing them up. Perfection!! I recommend this to everyone!	This Amp is very inexpensive and its performance proves its quality. First, you can't play a turntable without buying a preamp. That would be ok if the sound reproduction was good. I would have settled for good. I didn't settle and returned it; you shouldn't either.	Amazon ought to be ashamed to carry this junk on their line-up. You got enough BAD reviews to open your eyes.Just reading the murdered English in their manual is enough to tell you this is made by prisoners. Just try totune to your station on the FM - hopeless. The noisy constant fan! The unreal low price should have been a warning.Shame! Charles	This sound system is worth all the money you pay for it iv never heard bass so clear and ass loud as its going tough my 12 '' and 8 '' and two 5 '' subwoofers buy this if your looking for grate sound.	The Stereo works fantastic as Amp. for laptop Or MP3 player. Radio reception is poor. Has great range of sound adjustment. I have it in my garage, with speakers all around. Use mostly for Sirius / XM radio on laptop.
B005MZO5TA	Exactly as described, at 8 + oz. of solid metal this grip offers a stable way to hold your lightweight digital camera, without putting you fingers in front of the lens or flash. I find it works well with the Kodak PlaySmart Video camera and the Nikon S9100 point and shoot.Opteka HG-5 Pistol Handgrip Stabilizer for Point-n-Shoot, DSLR and Video Cameras	Probably the best and the least expensive stick I've ever owned and I love it.I use this with my GoPro HD Hero2. It's a bit heavy but the construct is very good. You can use this as a weapon too. lol	Bought this as part of the stabilizer rig then realized that this was easier to use alone than the rig itself. I am going to use it with a camera with an active stabilizer. Videos looked good. Will update after I use it this weekend. It looks good and is built solid.	I use this with a dual-camera mount and I like this because of the heft / weight and it stays pretty secure whether I use it with the mount or on my flip video camera or snapshot. I'd recommend this handle highly.	I was planning to use this with my D7000 + Battery Grip + 80-200 f / 2.8 lens, but when I received it, I changed my mind.It just does not look like it can handle that load. I put it on my Panasonic GF2, and it performs very nicely.Would highly recommend it for lighter cameras.	The unit is quite sturdy. I bought it to replace the pistol grip unit also featured because the pistol grip locking mechanism did seem to want to lock tight. This unit locks in very tightly and also feels professional. A great purchase for the money.	This is the 2nd stabilizer that I've purchased... one for my Sony a99 and one for my Sony a33. I can't speak highly enough about this handy little item! It's perfectly sized and the ergonomics is ideal! Two thumbs up!!	A low cost device that I bought and paired with a cell phone reduce jittery videos. Works pretty well for handheld use even when walking. The thread seemed a little recessed at first until I moved the washer flat. I recommend this product for anyone who records videos often for friends, and family especially with your cell phone.
B00BOZCSQE	of the fact that an SD card is NOT included with this camera. It is essential (you can only take 2 pix with the camera's internal memory) and it is standard practice to include one with a camera. So add c. $25 to any advertised price that you see here. Camera itself is fine.	Sharp pictures. Impressed with the low light capability. Almost as close as my DSLR. Ample shot configuration via auto presets as well as some options. Would have loved to have a bigger display screen, or one with swiveling capability. Adequate flash for indoor and night shot settings. Sturdy and slips easily into pocket.	I BOUGHT THIS CAMERA BASED ON CONSUMER REPORTS REVIEW. IT HAS MET MOST OF THE REQUIERMENTS. ITS PICTURE QUALITY IS BETTER THAN THE CANNON 110 HS THAT IT IS REPLACING. I HAD TO GLUE A RISER ON THE ON / OFF BUTTON SINCE IT WAS TOO SMALL FOR MY THUMB	Have only used the camera a short time but am really impressed with all the features and marvel at the detail of almost any type photo situation. The low light feature is outstanding and will be very helpful in museums and other venues where flash is not allowed. Overall I love this camera.	i have high-bride, mirrorless camera which is over 700bucks, but this camera, nikon one is almost as good as my fancy mirrorless camera.. i just love it! light, easy to carry around and pictures are just great. satisfied.	Love this camera for quality picture taking and size. Very easy to use and takes professional photos. I like to take my camera everywhere and this is the perfect size. It's a great first camera to explore with before investing in a DSLR.	After looking in the Consumer Reports for a new camera I came along this one. It was number one on the list.It was a good price so I bought it. It takes a little time to learn about the choices and setting up but then it's easy to use. I love my camera.	The battery is constantly malfunctioning making the camera unusable. I was on a once-in-a-lifetime trip in Malaysia in August and this happened constantly. The on / off button is also malfinctioning, besides that is very poorly designed. What good are all kinds of features when their usability is way below par!?
B00DB94FB2	The only thing I would like to see is an aux cord when I don't want to charge my phone, but It's not a huge deal. The sound is great, and worth the money. The remote works with your phone, and that's precisely what I wanted	you need to buy an adaptor for Ipod Nano's so it was disappointing when my son opened it up on Christmas and could not use it for his Ipod Nano. It does not state that anywhere on the box or when I ordered it.	Love, love, love the ability to save multiple preset radio stations, and the sound is clear, crisp... amazing! It almost makes waking up a pleasure. Another feature I never thought I wanted, but really appreciate, is the ability to set the brightness of the clock readout. Brilliant!	The sound of the radio is of real quality. I also like having the two separate alarms and the alarm is not obnoxious yet still wakes us up. My wife charges her iphone on it regularly and works out well. We like the Sony so much I got one for my son and his wife for a Christmas present	I was looking quite awhile to locate a decent sounding radio / iPod player which would also charge my iPod. This is perfect for our family. It's a lot smaller than I thought, which is good. And when we update to an iPhone 5, there is a $5 adapter to get so we can still use this radio. Perfect!	As always, Sony has a 'winner' in this combined am / fm radio and docking station. Great sound, looks good and wife is very pleased as she put it in her craft work area. Finding the combo of am / fm wasn't easy either.Lots of fm only units. This is a great product.	My husband really like this speaker... LOVE IT! Its so easy to operate by setting the alarm.. I like the way when you put your iphone 4s to the dock its charge at the same time while you are you using it...! Great product	While I like the Dream Machine I don't know why there's so much static. It's nearly impossible to get a couple of my favorite radio stations without constant static in the background. My other radio doesn't do that. I've even tried different locations for it. That's a big disappointment and shortcoming of the product.
